x,y
30.99,-40.21
32.04,-41.26
33.1,-41.96
34.15,-41.96
35.2,-42.66
36.25,-43.01
37.3,-43.01
38.35,-43.71
39.4,-44.41
40.45,-45.12
41.5,-46.17
42.55,-47.22
43.61,-48.27
44.66,-49.32
45.71,-50.37
46.76,-51.42
47.11,-52.47
47.46,-53.52
47.46,-54.57
47.46,-55.63
47.46,-56.68
47.46,-57.73
47.46,-58.78
47.46,-59.83
46.41,-60.88
46.06,-61.93
45.36,-62.98
45.36,-64.03
45.01,-65.09
44.31,-66.14
43.96,-67.19
43.26,-68.24
42.91,-69.29
42.91,-70.34
42.2,-71.39
41.85,-72.44
41.85,-73.49
40.8,-74.54
40.45,-75.6
39.75,-76.65
39.4,-77.7
38.35,-78.75
37.3,-79.1
36.25,-79.1
35.2,-79.1
34.15,-79.1
33.1,-79.45
32.04,-79.45
30.99,-79.8
29.94,-79.8
28.89,-79.8
27.84,-79.8
26.79,-79.45
25.74,-79.1
24.69,-78.75
23.64,-78.75
22.58,-78.05
21.53,-77.35
20.48,-77.0
19.43,-76.65
18.38,-75.95
17.33,-75.6
16.28,-74.9
15.23,-74.19
14.18,-73.14
13.13,-72.09
12.07,-71.04
11.02,-69.99
10.32,-68.94
9.97,-67.89
9.27,-66.84
9.27,-65.79
9.27,-64.73
9.27,-63.68
9.27,-62.63
9.27,-61.58
9.27,-60.53
9.27,-59.48
9.27,-58.43
9.27,-57.38
9.97,-56.33
10.32,-55.28
10.32,-54.22
10.67,-53.17
10.67,-52.12
10.67,-51.07
11.37,-50.02
11.37,-48.97
11.37,-47.92
11.37,-46.87
11.37,-45.82
10.67,-44.76
9.62,-43.71
8.57,-43.36
7.52,-43.36
6.47,-42.66
5.42,-42.31
4.37,-41.96
3.32,-41.61
2.26,-41.26
1.21,-40.56
0.16,-40.21
-0.89,-39.51
-1.94,-39.16
-2.99,-39.16
-4.04,-38.81
-5.09,-38.11
-6.14,-37.76
-7.19,-37.06
-8.25,-36.36
-9.3,-35.66
-10.35,-35.66
-11.4,-34.6
-12.45,-34.25
-13.5,-33.2
-14.55,-32.85
-15.6,-32.85
-16.65,-32.85
-17.71,-32.15
-18.76,-31.8
-19.81,-31.45
-20.86,-30.4
-21.91,-29.7
-22.96,-29.0
-24.01,-28.3
-24.36,-27.25
-24.71,-26.2
-25.06,-25.15
-25.06,-24.09
-25.06,-23.04
-25.06,-21.99
-25.06,-20.94
-24.71,-19.89
-24.36,-18.84
-24.01,-17.79
-23.31,-16.74
-22.61,-15.69
-21.91,-14.63
-21.56,-13.58
-20.51,-12.53
-19.46,-11.48
-18.41,-10.43
-17.36,-9.38
-16.3,-8.33
-15.25,-7.28
-14.2,-6.58
-13.15,-5.88
-12.1,-5.88
-11.05,-5.88
-10.0,-5.53
-8.95,-4.47
-7.9,-4.12
-6.84,-3.77
-5.79,-3.42
-4.74,-3.07
-3.69,-2.72
-2.64,-2.37
-1.59,-1.67
-0.54,-0.97
0.51,-0.27
1.56,0.08
2.61,0.43
3.67,0.43
4.72,1.13
5.77,1.13
6.82,1.83
7.87,2.18
8.92,2.53
9.97,2.88
11.02,3.58
12.07,3.58
13.13,3.93
14.18,3.93
15.23,3.93
16.28,3.93
17.33,3.93
18.38,3.93
19.43,3.93
20.48,3.93
21.53,3.58
22.58,2.53
23.64,1.48
24.34,0.43
24.69,-0.62
25.39,-1.67
25.39,-2.72
25.39,-3.77
25.39,-4.83
25.39,-5.88
25.39,-6.93
25.39,-7.98
25.39,-9.03
25.39,-10.08
25.39,-11.13
25.39,-12.18
25.39,-13.23
25.39,-14.28
25.39,-15.34
25.39,-16.39
25.39,-17.44
25.39,-18.49
25.39,-19.54
25.39,-20.59
25.04,-21.64
24.34,-22.69
23.64,-23.74
22.58,-24.09
21.53,-24.09
20.48,-23.39
20.48,-22.34
20.48,-21.29
20.48,-20.24
20.48,-19.19
20.48,-18.14
20.48,-17.09
20.48,-16.04
20.48,-14.99
20.48,-13.93
20.13,-12.88
19.43,-11.83
18.73,-10.78
18.73,-9.73
18.03,-8.68
16.98,-7.63
16.63,-6.58
15.93,-5.53
14.88,-4.83
13.83,-4.83
12.78,-4.83
11.72,-5.18
10.67,-5.53
9.62,-5.88
8.57,-5.88
7.52,-5.88
6.47,-5.88
5.42,-6.23
4.37,-6.58
3.32,-6.93
2.26,-6.93
1.21,-7.63
0.16,-8.68
-0.89,-9.03
-1.94,-9.38
-2.99,-10.08
-4.04,-10.78
-5.09,-11.13
-6.14,-11.48
-7.19,-12.18
-8.25,-12.88
-9.3,-13.23
-10.35,-14.28
-11.4,-14.99
-11.75,-16.04
-12.45,-17.09
-12.45,-18.14
-12.45,-19.19
-12.45,-20.24
-11.75,-21.29
-10.7,-22.34
-9.65,-23.39
-8.6,-24.44
-7.55,-24.79
-6.49,-24.79
-5.44,-25.15
-4.39,-25.5
-3.34,-25.85
-2.29,-25.85
-1.24,-26.55
-0.19,-26.9
0.86,-27.25
1.91,-27.25
2.97,-27.25
4.02,-27.95
5.07,-28.3
6.12,-28.65
7.17,-29.35
8.22,-29.7
9.27,-30.05
10.32,-30.75
11.37,-31.1
12.42,-31.45
13.48,-32.15
14.53,-32.85
15.58,-33.55
16.63,-33.9
17.68,-34.6
18.73,-34.96
19.78,-34.96
20.83,-35.31
21.88,-35.31
22.94,-35.66
23.99,-36.01
25.04,-36.71
26.09,-37.41
27.14,-38.46
27.84,-38.81
