x,y
30.99,-40.21
31.69,-40.91
32.39,-41.61
33.1,-41.96
33.8,-41.96
34.5,-42.31
35.2,-42.66
35.9,-43.01
36.6,-43.01
37.3,-43.01
38.0,-43.71
38.7,-44.06
39.4,-44.41
40.1,-44.76
40.8,-45.47
41.5,-46.17
42.2,-46.87
42.91,-47.57
43.61,-48.27
44.31,-48.97
45.01,-49.67
45.71,-50.37
46.41,-51.07
46.76,-51.77
47.11,-52.47
47.46,-53.17
47.46,-53.87
47.46,-54.57
47.46,-55.28
47.46,-55.98
47.46,-56.68
47.46,-57.38
47.46,-58.08
47.46,-58.78
47.46,-59.48
47.11,-60.18
46.41,-60.88
46.06,-61.58
45.71,-62.28
45.36,-62.98
45.36,-63.68
45.36,-64.38
45.01,-65.09
44.31,-65.79
44.31,-66.49
43.96,-67.19
43.61,-67.89
43.26,-68.59
42.91,-69.29
42.91,-69.99
42.55,-70.69
42.2,-71.39
41.85,-72.09
41.85,-72.79
41.85,-73.49
41.15,-74.19
40.8,-74.9
40.45,-75.6
40.1,-76.3
39.75,-77.0
39.4,-77.7
38.7,-78.4
38.0,-78.75
37.3,-79.1
36.6,-79.1
35.9,-79.1
35.2,-79.1
34.5,-79.1
33.8,-79.45
33.1,-79.45
32.39,-79.45
31.69,-79.45
30.99,-79.8
30.29,-79.8
29.59,-79.8
28.89,-79.8
28.19,-79.8
27.49,-79.8
26.79,-79.45
26.09,-79.45
25.39,-79.1
24.69,-78.75
23.99,-78.75
23.29,-78.4
22.58,-78.05
21.88,-77.35
21.18,-77.35
20.48,-77.0
19.78,-76.65
19.08,-76.3
18.38,-75.95
17.68,-75.95
16.98,-75.6
16.28,-74.9
15.58,-74.19
14.88,-73.84
14.18,-73.14
13.48,-72.44
12.78,-71.74
12.07,-71.04
11.37,-70.34
11.02,-69.64
10.32,-68.94
10.32,-68.24
9.62,-67.54
9.27,-66.84
9.27,-66.14
9.27,-65.44
9.27,-64.73
9.27,-64.03
9.27,-63.33
9.27,-62.63
9.27,-61.93
9.27,-61.23
9.27,-60.53
9.27,-59.83
9.27,-59.13
9.27,-58.43
9.27,-57.73
9.62,-57.03
9.97,-56.33
9.97,-55.63
10.32,-54.93
10.32,-54.22
10.67,-53.52
10.67,-52.82
10.67,-52.12
10.67,-51.42
11.02,-50.72
11.37,-50.02
11.37,-49.32
11.37,-48.62
11.37,-47.92
11.37,-47.22
11.37,-46.52
11.37,-45.82
11.02,-45.12
10.32,-44.41
9.62,-43.71
8.92,-43.71
8.22,-43.36
7.52,-43.36
6.82,-43.01
6.12,-42.66
5.42,-42.31
4.72,-41.96
4.02,-41.96
3.32,-41.61
2.61,-41.26
1.91,-40.91
1.21,-40.56
0.51,-40.21
-0.19,-39.86
-0.89,-39.51
-1.59,-39.16
-2.29,-39.16
-2.99,-39.16
-3.69,-38.81
-4.39,-38.46
-5.09,-38.11
-5.79,-38.11
-6.49,-37.41
-7.19,-37.06
-7.9,-36.36
-8.6,-36.01
-9.3,-35.66
-10.0,-35.66
-10.7,-35.31
-11.4,-34.6
-12.1,-34.6
-12.8,-33.9
-13.5,-33.2
-14.2,-32.85
-14.9,-32.85
-15.6,-32.85
-16.3,-32.85
-17.0,-32.5
-17.71,-32.15
-18.41,-32.15
-19.11,-31.45
-19.81,-31.45
-20.51,-30.75
-21.21,-30.05
-21.91,-29.7
-22.61,-29.35
-23.31,-29.0
-24.01,-28.3
-24.36,-27.6
-24.36,-26.9
-24.71,-26.2
-25.06,-25.5
-25.06,-24.79
-25.06,-24.09
-25.06,-23.39
-25.06,-22.69
-25.06,-21.99
-25.06,-21.29
-25.06,-20.59
-24.71,-19.89
-24.71,-19.19
-24.36,-18.49
-24.01,-17.79
-23.31,-17.09
-23.31,-16.39
-22.61,-15.69
-22.26,-14.99
-21.91,-14.28
-21.56,-13.58
-20.86,-12.88
-20.16,-12.18
-19.46,-11.48
-18.76,-10.78
-18.06,-10.08
-17.36,-9.38
-16.65,-8.68
-15.95,-7.98
-15.25,-7.28
-14.55,-6.58
-13.85,-6.58
-13.15,-5.88
-12.45,-5.88
-11.75,-5.88
-11.05,-5.88
-10.35,-5.53
-9.65,-5.18
-8.95,-4.47
-8.25,-4.12
-7.55,-4.12
-6.84,-3.77
-6.14,-3.77
-5.44,-3.42
-4.74,-3.07
-4.04,-3.07
-3.34,-2.72
-2.64,-2.37
-1.94,-2.02
-1.24,-1.32
-0.54,-0.97
0.16,-0.62
0.86,-0.27
1.56,0.08
2.26,0.43
2.97,0.43
3.67,0.43
4.37,0.78
